Reference;Water/binder ratio;Coarse aggregate/binder ratio;Fine aggregate/binder ratio;Heating rate, °C/min;Moisture content;Characteristic length, mm;Maximum exposure temperature, °C;Silica fume/binder ratio;Maximum aggregate size, mm;GGBS/binder ratio;Fly ash/binder ratio;Quantity of PP fiber, kg/m³;Diameter of PP fiber, um;Length of PP fiber,mm;Quantity of S fiber, kg/m³;Diameter of S fiber, mm;Length of S fiber,mm;output
7;0.46;1.767;2.128;5;0.035;50;500;0;16;0;0;0;0;0;0;0;0;0
7;0.46;1.767;2.128;5;0.035;50;700;0;16;0;0;0;0;0;0;0;0;1
7;0.43;1.767;2.158;5;0.035;75;300;0.044;16;0;0;0;0;0;0;0;0;0
7;0.43;1.767;2.158;5;0.035;75;500;0.044;16;0;0;0;0;0;0;0;0;1
7;0.43;1.767;2.158;5;0.035;75;700;0.044;16;0;0;0;0;0;0;0;0;1
7;0.43;1.767;2.158;5;0.035;50;300;0.044;16;0;0;0;0;0;0;0;0;0
7;0.43;1.767;2.158;5;0.035;50;500;0.044;16;0;0;0;0;0;0;0;0;1
7;0.43;1.767;2.158;5;0.035;50;700;0.044;16;0;0;0;0;0;0;0;0;1
7;0.6;1.73;3.135;5;0.035;75;300;0;16;0;0;0;0;0;0;0;0;0
7;0.6;1.73;3.135;5;0.035;75;500;0;16;0;0;0;0;0;0;0;0;0
7;0.6;1.73;3.135;5;0.035;75;700;0;16;0;0;0;0;0;0;0;0;0
7;0.6;1.73;3.135;5;0.035;50;300;0;16;0;0;0;0;0;0;0;0;0
7;0.6;1.73;3.135;5;0.035;50;500;0;16;0;0;0;0;0;0;0;0;0
7;0.6;1.73;3.135;5;0.035;50;700;0;16;0;0;0;0;0;0;0;0;0
7;0.57;1.943;3.2;5;0.035;75;300;0;16;0;0;0;0;0;0;0;0;0
7;0.57;1.943;3.2;5;0.035;75;500;0;16;0;0;0;0;0;0;0;0;0
7;0.57;1.943;3.2;5;0.035;75;700;0;16;0;0;0;0;0;0;0;0;0
7;0.57;1.943;3.2;5;0.035;50;300;0;16;0;0;0;0;0;0;0;0;0
7;0.57;1.943;3.2;5;0.035;50;500;0;16;0;0;0;0;0;0;0;0;0
7;0.57;1.943;3.2;5;0.035;50;700;0;16;0;0;0;0;0;0;0;0;0
7;0.46;1.465;2.64;5;0.035;75;300;0;16;0;0;0;0;0;0;0;0;0
7;0.46;1.465;2.64;5;0.035;75;500;0;16;0;0;0;0;0;0;0;0;0
7;0.46;1.465;2.64;5;0.035;75;700;0;16;0;0;0;0;0;0;0;0;1
7;0.46;1.465;2.64;5;0.035;50;300;0;16;0;0;0;0;0;0;0;0;0
7;0.46;1.465;2.64;5;0.035;50;500;0;16;0;0;0;0;0;0;0;0;0
7;0.46;1.465;2.64;5;0.035;50;700;0;16;0;0;0;0;0;0;0;0;1
7;0.45;1.447;2.327;5;0.035;75;300;0;16;0;0;0;0;0;0;0;0;0
7;0.45;1.447;2.327;5;0.035;75;500;0;16;0;0;0;0;0;0;0;0;1
7;0.45;1.447;2.327;5;0.035;75;700;0;16;0;0;0;0;0;0;0;0;1
7;0.45;1.447;2.327;5;0.035;50;300;0;16;0;0;0;0;0;0;0;0;0
7;0.45;1.447;2.327;5;0.035;50;500;0;16;0;0;0;0;0;0;0;0;1
7;0.45;1.447;2.327;5;0.035;50;700;0;16;0;0;0;0;0;0;0;0;1
8;0.549;2.906;2.686;5;0.035;75;300;0;32;0;0;0;0;0;0;0;0;0
8;0.549;2.906;2.686;5;0.035;75;500;0;32;0;0;0;0;0;0;0;0;0
8;0.549;2.906;2.686;5;0.035;75;700;0;32;0;0;0;0;0;0;0;0;0
8;0.3;2.008;1.644;5;0.035;75;300;0;8;0;0;0;0;0;0;0;0;0
8;0.3;2.008;1.644;5;0.035;75;500;0;8;0;0;0;0;0;0;0;0;0
8;0.3;2.008;1.644;5;0.035;75;700;0;8;0;0;0;0;0;0;0;0;1
8;0.264;1.768;1.327;5;0.035;75;300;0.088;8;0;0.12;0;0;0;0;0;0;0
8;0.264;1.768;1.327;5;0.035;75;500;0.088;8;0;0.12;0;0;0;0;0;0;1
8;0.264;1.768;1.327;5;0.035;75;700;0.088;8;0;0.12;0;0;0;0;0;0;1
8;0.549;2.906;2.686;5;0.035;75;300;0;32;0;0;0;0;0;40;0.6;30;0
8;0.549;2.906;2.686;5;0.035;75;500;0;32;0;0;0;0;0;40;0.6;30;0
8;0.549;2.906;2.686;5;0.035;75;700;0;32;0;0;0;0;0;40;0.6;30;0
8;0.3;2.008;1.644;5;0.035;75;300;0;8;0;0;0;0;0;40;0.6;30;0
8;0.3;2.008;1.644;5;0.035;75;500;0;8;0;0;0;0;0;40;0.6;30;0
8;0.3;2.008;1.644;5;0.035;75;700;0;8;0;0;0;0;0;40;0.6;30;1
8;0.264;1.768;1.327;5;0.035;75;300;0.088;8;0;0.12;0;0;0;40;0.6;30;0
8;0.264;1.768;1.327;5;0.035;75;500;0.088;8;0;0.12;0;0;0;40;0.6;30;1
8;0.264;1.768;1.327;5;0.035;75;700;0.088;8;0;0.12;0;0;0;40;0.6;30;1
9;0.3;1.377;1.404;5;0.067;50;600;0;13;0;0;0;0;0;0;0;0;1
9;0.3;1.377;1.404;10;0.067;50;600;0;13;0;0;0;0;0;0;0;0;0
9;0.3;1.377;1.404;40;0.067;50;800;0;13;0;0;0;0;0;0;0;0;0
9;0.3;1.377;1.404;5;0.067;50;600;0;13;0;0;0.9;18;6;0;0;0;0
9;0.3;1.377;1.404;10;0.067;50;600;0;13;0;0;0.9;18;6;0;0;0;0
9;0.3;1.377;1.404;40;0.067;50;800;0;13;0;0;0.9;18;6;0;0;0;0
9;0.3;1.369;1.393;5;0.067;50;600;0;13;0;0;0.9;18;6;23.4;0.6;30;0
9;0.3;1.369;1.393;10;0.067;50;600;0;13;0;0;0.9;18;6;23.4;0.6;30;0
9;0.3;1.369;1.393;40;0.067;50;800;0;13;0;0;0.9;18;6;23.4;0.6;30;0
9;0.3;1.363;1.39;5;0.067;50;600;0;13;0;0;0.9;18;6;31.2;0.6;30;0
9;0.3;1.363;1.39;10;0.067;50;600;0;13;0;0;0.9;18;6;31.2;0.6;30;0
9;0.3;1.363;1.39;40;0.067;50;800;0;13;0;0;0.9;18;6;31.2;0.6;30;0
9;0.3;1.363;1.39;5;0.067;50;600;0;13;0;0;0.9;18;6;39;0.6;30;0
9;0.3;1.363;1.39;10;0.067;50;600;0;13;0;0;0.9;18;6;39;0.6;30;0
9;0.3;1.363;1.39;40;0.067;50;800;0;13;0;0;0.9;18;6;39;0.6;30;0
10;0.19;0;1.258;30;0;25;500;0.232;0.6;0;0;0;0;0;80;0.175;12;1
10;0.19;0;1.229;30;0;25;500;0.232;0.6;0;0;0;0;0;160;0.175;12;1
10;0.19;0;1.258;2;0;25;200;0.232;0.6;0;0;0;0;0;80;0.175;12;0
10;0.19;0;1.258;2;0;25;300;0.232;0.6;0;0;0;0;0;80;0.175;12;0
10;0.19;0;1.258;2;0;25;400;0.232;0.6;0;0;0;0;0;80;0.175;12;0
10;0.19;0;1.258;2;0;25;500;0.232;0.6;0;0;0;0;0;80;0.175;12;0
10;0.19;0;1.258;2;0;25;600;0.232;0.6;0;0;0;0;0;80;0.175;12;0
10;0.19;0;1.258;2;0;25;700;0.232;0.6;0;0;0;0;0;80;0.175;12;0
10;0.19;0;1.258;2;0;25;800;0.232;0.6;0;0;0;0;0;80;0.175;12;0
10;0.19;0;1.229;2;0;25;200;0.232;0.6;0;0;0;0;0;160;0.175;12;0
10;0.19;0;1.229;2;0;25;300;0.232;0.6;0;0;0;0;0;160;0.175;12;0
10;0.19;0;1.229;2;0;25;400;0.232;0.6;0;0;0;0;0;160;0.175;12;0
10;0.19;0;1.229;2;0;25;500;0.232;0.6;0;0;0;0;0;160;0.175;12;0
10;0.19;0;1.229;2;0;25;600;0.232;0.6;0;0;0;0;0;160;0.175;12;0
10;0.19;0;1.229;2;0;25;700;0.232;0.6;0;0;0;0;0;160;0.175;12;0
10;0.19;0;1.229;2;0;25;800;0.232;0.6;0;0;0;0;0;160;0.175;12;0
10;0.19;0;1.201;2;0;25;200;0.232;0.6;0;0;0;0;0;240;0.175;12;0
10;0.19;0;1.201;2;0;25;300;0.232;0.6;0;0;0;0;0;240;0.175;12;0
10;0.19;0;1.201;2;0;25;400;0.232;0.6;0;0;0;0;0;240;0.175;12;0
10;0.19;0;1.201;2;0;25;500;0.232;0.6;0;0;0;0;0;240;0.175;12;0
10;0.19;0;1.201;2;0;25;600;0.232;0.6;0;0;0;0;0;240;0.175;12;0
10;0.19;0;1.201;2;0;25;700;0.232;0.6;0;0;0;0;0;240;0.175;12;0
10;0.19;0;1.201;2;0;25;800;0.232;0.6;0;0;0;0;0;240;0.175;12;0
10;0.19;0;1.258;30;0;25;200;0.232;0.6;0;0;0;0;0;80;0.175;12;0
10;0.19;0;1.258;30;0;25;300;0.232;0.6;0;0;0;0;0;80;0.175;12;0
10;0.19;0;1.258;30;0;25;400;0.232;0.6;0;0;0;0;0;80;0.175;12;0
10;0.19;0;1.258;30;0;25;600;0.232;0.6;0;0;0;0;0;80;0.175;12;1
10;0.19;0;1.258;30;0;25;700;0.232;0.6;0;0;0;0;0;80;0.175;12;1
10;0.19;0;1.258;30;0;25;800;0.232;0.6;0;0;0;0;0;80;0.175;12;1
10;0.19;0;1.229;30;0;25;200;0.232;0.6;0;0;0;0;0;160;0.175;12;0
10;0.19;0;1.229;30;0;25;300;0.232;0.6;0;0;0;0;0;160;0.175;12;0
10;0.19;0;1.229;30;0;25;400;0.232;0.6;0;0;0;0;0;160;0.175;12;0
10;0.19;0;1.229;30;0;25;600;0.232;0.6;0;0;0;0;0;160;0.175;12;1
10;0.19;0;1.229;30;0;25;700;0.232;0.6;0;0;0;0;0;160;0.175;12;1
10;0.19;0;1.229;30;0;25;800;0.232;0.6;0;0;0;0;0;160;0.175;12;1
10;0.19;0;1.201;30;0;25;200;0.232;0.6;0;0;0;0;0;240;0.175;12;0
10;0.19;0;1.201;30;0;25;300;0.232;0.6;0;0;0;0;0;240;0.175;12;0
10;0.19;0;1.201;30;0;25;400;0.232;0.6;0;0;0;0;0;240;0.175;12;0
10;0.19;0;1.201;30;0;25;500;0.232;0.6;0;0;0;0;0;240;0.175;12;1
10;0.19;0;1.201;30;0;25;600;0.232;0.6;0;0;0;0;0;240;0.175;12;1
10;0.19;0;1.201;30;0;25;700;0.232;0.6;0;0;0;0;0;240;0.175;12;1
10;0.19;0;1.201;30;0;25;800;0.232;0.6;0;0;0;0;0;240;0.175;12;1
11;0.421;3.135;1.842;3;0.025;50;150;0;20;0;0.248;0;0;0;0;0;0;0
11;0.421;3.135;1.842;3;0.025;50;200;0;20;0;0.248;0;0;0;0;0;0;0
