idx_original;Reference;Water/binder ratio;Coarse aggregate/binder ratio;Fine aggregate/binder ratio;Heating rate, °C/min;Moisture content;Characteristic length, mm;Maximum exposure temperature, °C;Silica fume/binder ratio;Maximum aggregate size, mm;GGBS/binder ratio;Fly ash/binder ratio;Quantity of PP fiber, kg/m³;Diameter of PP fiber, um;Length of PP fiber,mm;Quantity of S fiber, kg/m³;Diameter of S fiber, mm;Length of S fiber,mm;output
74;6;0.395;1.444;1.8;66.0;0.048;100.0;678.0;0.0;16.0;0.0;0.0;1.0;18.0;6;0.0;0.0;0;0
75;6;0.573;2.502;3.38;66.0;0.052;100.0;678.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
76;7;0.54;2.0;3.257;5.0;0.035;75.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
77;7;0.54;2.0;3.257;5.0;0.035;75.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
78;7;0.54;2.0;3.257;5.0;0.035;75.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
79;7;0.54;2.0;3.257;5.0;0.035;50.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
80;7;0.54;2.0;3.257;5.0;0.035;50.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
81;7;0.54;2.0;3.257;5.0;0.035;50.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
82;7;0.57;2.4;2.543;5.0;0.035;75.0;300.0;0.0;32.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
83;7;0.57;2.4;2.543;5.0;0.035;75.0;500.0;0.0;32.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
84;7;0.57;2.4;2.543;5.0;0.035;75.0;700.0;0.0;32.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
85;7;0.57;2.4;2.543;5.0;0.035;50.0;300.0;0.0;32.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
86;7;0.57;2.4;2.543;5.0;0.035;50.0;500.0;0.0;32.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
87;7;0.57;2.4;2.543;5.0;0.035;50.0;700.0;0.0;32.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
88;7;0.46;1.767;2.128;5.0;0.035;75.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
89;7;0.46;1.767;2.128;5.0;0.035;75.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
90;7;0.46;1.767;2.128;5.0;0.035;75.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
91;7;0.46;1.767;2.128;5.0;0.035;50.0;300.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
92;7;0.46;1.767;2.128;5.0;0.035;50.0;500.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
93;7;0.46;1.767;2.128;5.0;0.035;50.0;700.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
94;7;0.43;1.767;2.158;5.0;0.035;75.0;300.0;0.044;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
95;7;0.43;1.767;2.158;5.0;0.035;75.0;500.0;0.044;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
96;7;0.43;1.767;2.158;5.0;0.035;75.0;700.0;0.044;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
97;7;0.43;1.767;2.158;5.0;0.035;50.0;300.0;0.044;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
98;7;0.43;1.767;2.158;5.0;0.035;50.0;500.0;0.044;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
99;7;0.43;1.767;2.158;5.0;0.035;50.0;700.0;0.044;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
